
10월 02, 2018 10:12:16.54 NEW SESSION
10월 02, 2018 10:12:16.58 [5260:5264:1002/101216.527:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.72 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.72 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.72 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.72 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.72 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.72 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.72 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.72 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.72 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.72 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 13:24:47.73 [5760:5340:1002/132447.720:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.41 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:05:51.42 [3164:5440:1002/150551.413:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.69 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.70 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.70 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.70 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.70 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.70 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.70 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 15:49:50.70 [3984:4076:1002/154950.678:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.66 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.68 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.69 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.69 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.69 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.70 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.70 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.70 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.70 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.70 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.70 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.70 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.70 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:23:04.70 [5680:3692:1002/162304.651:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 16:55:52.96 [5680:5772:1002/165552.963:ERROR:audio_manager_base.cc(366)] Invalid audio output parameters received; using fake audio path: format: 0 channel_layout: 0 channels: 0 sample_rate: 0 frames_per_buffer: 0 effects: 0 mic_positions: 
10월 02, 2018 16:57:15.31 [5680:5772:1002/165715.311:ERROR:audio_manager_base.cc(366)] Invalid audio output parameters received; using fake audio path: format: 0 channel_layout: 0 channels: 0 sample_rate: 0 frames_per_buffer: 0 effects: 0 mic_positions: 
10월 02, 2018 16:58:07.44 [5680:5772:1002/165807.445:ERROR:audio_manager_base.cc(366)] Invalid audio output parameters received; using fake audio path: format: 0 channel_layout: 0 channels: 0 sample_rate: 0 frames_per_buffer: 0 effects: 0 mic_positions: 
10월 02, 2018 16:59:01.73 [5680:5772:1002/165901.735:ERROR:audio_manager_base.cc(366)] Invalid audio output parameters received; using fake audio path: format: 0 channel_layout: 0 channels: 0 sample_rate: 0 frames_per_buffer: 0 effects: 0 mic_positions: 
10월 02, 2018 17:12:49.81 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.83 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 02, 2018 17:12:49.84 [5248:5608:1002/171249.815:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.

10월 04, 2018 09:44:18.91 NEW SESSION
10월 04, 2018 09:44:18.91 [4192:4436:1004/094418.914:ERROR:shader_disk_cache.cc(257)] Failed to create shader cache entry: -2
10월 04, 2018 11:31:33.78 [4192:4436:1004/113133.780:ERROR:shader_disk_cache.cc(257)] Failed to create shader cache entry: -2
10월 04, 2018 11:31:33.85 [4192:4372:1004/113133.850:ERROR:audio_manager_base.cc(366)] Invalid audio output parameters received; using fake audio path: format: 0 channel_layout: 0 channels: 0 sample_rate: 0 frames_per_buffer: 0 effects: 0 mic_positions: 
10월 04, 2018 11:34:08.45 [4192:4372:1004/113408.453:ERROR:audio_manager_base.cc(366)] Invalid audio output parameters received; using fake audio path: format: 0 channel_layout: 0 channels: 0 sample_rate: 0 frames_per_buffer: 0 effects: 0 mic_positions: 
10월 04, 2018 17:43:30.93 [4192:6772:1004/174330.936:ERROR:platform_sensor_reader_win.cc(242)] NOT IMPLEMENTED
10월 04, 2018 17:44:01.20 [4192:4372:1004/174401.207:ERROR:audio_manager_base.cc(366)] Invalid audio output parameters received; using fake audio path: format: 0 channel_layout: 0 channels: 0 sample_rate: 0 frames_per_buffer: 0 effects: 0 mic_positions: 

10월 05, 2018 09:43:16.05 NEW SESSION
10월 05, 2018 09:43:16.05 [3496:768:1005/094316.048:ERROR:audio_manager_base.cc(366)] Invalid audio output parameters received; using fake audio path: format: 0 channel_layout: 0 channels: 0 sample_rate: 0 frames_per_buffer: 0 effects: 0 mic_positions: 

10월 08, 2018 10:13:32.70 NEW SESSION
10월 08, 2018 10:13:32.70 [5072:4960:1008/101332.706:ERROR:audio_manager_base.cc(366)] Invalid audio output parameters received; using fake audio path: format: 0 channel_layout: 0 channels: 0 sample_rate: 0 frames_per_buffer: 0 effects: 0 mic_positions: 
10월 08, 2018 17:45:06.78 [5072:1356:1008/174506.789:ERROR:platform_sensor_reader_win.cc(242)] NOT IMPLEMENTED
10월 08, 2018 17:49:11.77 [1564:3320:1008/174911.771:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
10월 08, 2018 17:49:11.77 [1564:3320:1008/174911.771:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
